Latitude,Longitude,Stop Name,Stop Status
40.700471,-73.910079,PALMETTO ST/ST NICHOLAS AV,at stop
40.689467,-73.92226,GATES AV/BROADWAY,at stop
40.696606,-73.915081,GATES AV/KNICKERBOCKER AV,at stop
40.691352,-73.987085,FULTON ST/JAY ST,at stop
40.686199,-73.970256,GREENE AV/ADELPHI ST,at stop
40.689914,-73.983491,FULTON ST/BOND ST,approaching
40.698118,-73.912798,PALMETTO ST/IRVING AV,approaching
40.690071,-73.983885,FULTON ST/DUFFIELD ST,approaching
40.686796,-73.959591,GREENE AV/CLASSON AV,approaching
40.686012,-73.971889,GREENE AV/ADELPHI ST,< 1 stop away
40.686752,-73.945938,GATES AV/MARCY AV,< 1 stop away
40.692535,-73.989071,FULTON ST/SMITH ST,< 1 stop away
40.687901,-73.935951,GATES AV/MARCUS GARVEY BL,< 1 stop away
40.699312,-73.911252,N/A,N/A
